id,title,normative,old_priority,new_priority,edition,strategy,phase,release_gate,acceptance_v12
ORG-011,"Maintain employment lifecycle states including pre-hire, active, leave, notice period, terminated and contractor expiration","The platform shall maintain employment lifecycle states including pre-hire, active, leave, notice period, terminated and contractor expiration.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
ORG-012,Maintain manager relationships and authorized managerial scope for workforce analytics,The platform shall maintain manager relationships and authorized managerial scope for workforce analytics.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
ORG-013,"Allow organization-level feature flags and controlled rollout by tenant, group and user","The platform shall allow organization-level feature flags and controlled rollout by tenant, group and user.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
ORG-014,"Provide bulk import, bulk edit and bulk assignment workflows with preview and rollback","The platform shall provide bulk import, bulk edit and bulk assignment workflows with preview and rollback.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
ORG-015,Maintain immutable organization-change audit history with before and after values,The platform shall maintain immutable organization-change audit history with before and after values.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
IAM-001,Role-based access control,"The platform shall provide granular RBAC for administration, monitoring, risk, investigation, reporting, privacy, evidence reveal, export and integration actions.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-002,Attribute-based access control,"The platform shall supplement RBAC with ABAC conditions for department, jurisdiction, purpose, case membership, sensitivity and risk context.",MUST,MUST,Visibility,SURPASS,0,Visibility GA,
IAM-003,Support least-privilege custom roles and permission bundles,The platform shall support least-privilege custom roles and permission bundles.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-004,Support SSO using SAML 2.0 and OpenID Connect,The platform shall support SSO using SAML 2.0 and OpenID Connect.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-005,Support MFA enforcement and step-up authentication for sensitive evidence actions,The platform shall support MFA enforcement and step-up authentication for sensitive evidence actions.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-006,Support SCIM 2.0 user and group provisioning,The platform shall support SCIM 2.0 user and group provisioning.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-007,Support directory synchronization with Microsoft Entra ID and Active Directory,The platform shall support directory synchronization with Microsoft Entra ID and Active Directory.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-008,Support identity-provider group-to-role mapping,The platform shall support identity-provider group-to-role mapping.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-009,Support service accounts and scoped machine identities distinct from human administrators,The platform shall support service accounts and scoped machine identities distinct from human administrators.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-010,"Support API clients with revocable scopes, secrets rotation and optional mTLS","The platform shall support API clients with revocable scopes, secrets rotation and optional mTLS.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-011,"Support session timeout, re-authentication and concurrent-session policy","The platform shall support session timeout, re-authentication and concurrent-session policy.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-012,Support IP/network restrictions for administrative access,The platform shall support IP/network restrictions for administrative access.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-013,Support emergency break-glass accounts with enhanced auditing,The platform shall support emergency break-glass accounts with enhanced auditing.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-014,Support dual authorization for focused evidence collection and highly sensitive evidence reveal,The platform shall support dual authorization for focused evidence collection and highly sensitive evidence reveal.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-015,"Support delegated administration by tenant, business unit, department and geography","The platform shall support delegated administration by tenant, business unit, department and geography.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-016,Support investigator access limited to assigned cases and subjects,The platform shall support investigator access limited to assigned cases and subjects.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-017,Support auditor/read-only roles that cannot change policies or monitoring scope,The platform shall support auditor/read-only roles that cannot change policies or monitoring scope.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-018,Support purpose-of-access declaration before viewing restricted employee content,The platform shall support purpose-of-access declaration before viewing restricted employee content.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-019,"Log authentication, authorization decisions, evidence views, downloads and exports","The platform shall log authentication, authorization decisions, evidence views, downloads and exports.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
IAM-020,Provide periodic access-review reports and stale-privilege detection,The platform shall provide periodic access-review reports and stale-privilege detection.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-001,Signed endpoint agent,"The platform shall provide cryptographically signed, versioned endpoint agents with secure update verification and tamper-evident identity.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-002,Metadata-first default collection,"The endpoint agent shall default to metadata-first collection and shall not collect keystrokes, message bodies, continuous video or precise GPS unless an authorized policy explicitly elevates observation.",MUST,MUST,Visibility,SURPASS,0,Visibility GA,
AGENT-003,Authenticate each agent/device using unique device-bound credentials and rotate them automatically,The platform shall authenticate each agent/device using unique device-bound credentials and rotate them automatically.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-004,Encrypt telemetry and evidence in transit using current TLS with certificate validation and pinning where operationally appropriate,The platform shall encrypt telemetry and evidence in transit using current TLS with certificate validation and pinning where operationally appropriate.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-005,Buffer events locally during connectivity loss and upload them in order with deduplication after reconnection,The platform shall buffer events locally during connectivity loss and upload them in order with deduplication after reconnection.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-006,Protect local queues and configuration using OS-backed encryption and integrity checks,The platform shall protect local queues and configuration using OS-backed encryption and integrity checks.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-007,"Expose agent health including online state, last check-in, version, policy version, queue depth, upload lag, errors and warnings","The platform shall expose agent health including online state, last check-in, version, policy version, queue depth, upload lag, errors and warnings.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-008,"Provide centrally managed policy delivery with versioning, signature validation, staged rollout and rollback","The platform shall provide centrally managed policy delivery with versioning, signature validation, staged rollout and rollback.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-009,"Support bandwidth limits, batching, compression and upload-window controls","The platform shall support bandwidth limits, batching, compression and upload-window controls.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-010,"Support CPU, memory, disk and battery safeguards that automatically degrade noncritical collection under resource pressure","The platform shall support CPU, memory, disk and battery safeguards that automatically degrade noncritical collection under resource pressure.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-011,Support local event timestamps plus UTC normalization and clock-skew detection,The platform shall support local event timestamps plus UTC normalization and clock-skew detection.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-012,Support multi-user/shared workstations and preserve user-to-session attribution,The platform shall support multi-user/shared workstations and preserve user-to-session attribution.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-013,"Support remote enterprise deployment using approved management channels such as Intune, Jamf, GPO/SCCM or equivalent","The platform shall support remote enterprise deployment using approved management channels such as Intune, Jamf, GPO/SCCM or equivalent.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-014,Support interactive/manual installer packages for transparent deployments,The platform shall support interactive/manual installer packages for transparent deployments.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-015,Support scheduled deployment and maintenance windows,The platform shall support scheduled deployment and maintenance windows.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-016,"Support centrally managed updates using staged rings, canary groups and emergency rollback","The platform shall support centrally managed updates using staged rings, canary groups and emergency rollback.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-017,Support remote repair/reinstall workflows with administrator-visible status,The platform shall support remote repair/reinstall workflows with administrator-visible status.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-018,Support authorized remote uninstall and cryptographic de-registration,The platform shall support authorized remote uninstall and cryptographic de-registration.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-019,"Detect agent tampering, stopped services, corrupted components and unauthorized policy modification attempts","The platform shall detect agent tampering, stopped services, corrupted components and unauthorized policy modification attempts.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-020,Report monitoring coverage gaps and missing OS permissions without silently pretending data is complete,The platform shall report monitoring coverage gaps and missing OS permissions without silently pretending data is complete.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-021,"Support Do Not Record exclusions by application, website, window, path, user group, schedule and privacy zone","The platform shall support Do Not Record exclusions by application, website, window, path, user group, schedule and privacy zone.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-022,Support user-visible monitoring disclosure and policy summary where configured or legally required,The platform shall support user-visible monitoring disclosure and policy summary where configured or legally required.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-023,Support optional user pause/clock-out for transparent workforce-monitoring deployments with policy-controlled limits,The platform shall support optional user pause/clock-out for transparent workforce-monitoring deployments with policy-controlled limits.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-024,"Support focused-observation elevation with explicit reason, approver, scope, start time, expiry and automatic reversion","The platform shall support focused-observation elevation with explicit reason, approver, scope, start time, expiry and automatic reversion.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-025,"Support collection level 0 Excluded, level 1 Metadata, level 2 Enriched Context, level 3 Focused Evidence and level 4 Preventive Control","The platform shall support collection level 0 Excluded, level 1 Metadata, level 2 Enriched Context, level 3 Focused Evidence and level 4 Preventive Control.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-026,Ensure high-risk collection modes have visibly distinct administrative state and cannot be enabled through ambiguous toggles,The platform shall ensure high-risk collection modes have visibly distinct administrative state and cannot be enabled through ambiguous toggles.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-027,Cache the minimum policy needed to continue safely while offline,The platform shall cache the minimum policy needed to continue safely while offline.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-028,Support tenant-configurable local-retention limits and secure local deletion after upload/expiry,The platform shall support tenant-configurable local-retention limits and secure local deletion after upload/expiry.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-029,Support agent self-diagnostics bundle generation without exposing employee content by default,The platform shall support agent self-diagnostics bundle generation without exposing employee content by default.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-030,Expose capability discovery so the console only offers controls supported by the endpoint OS and agent version,The platform shall expose capability discovery so the console only offers controls supported by the endpoint OS and agent version.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-031,"Support command acknowledgement and idempotency for deploy, update, policy, uninstall and diagnostic actions","The platform shall support command acknowledgement and idempotency for deploy, update, policy, uninstall and diagnostic actions.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-032,"Provide fleet-level success/failure metrics for deployment, upgrades, policy propagation and event delivery","The platform shall provide fleet-level success/failure metrics for deployment, upgrades, policy propagation and event delivery.",MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-033,Support controlled beta channels for new OS versions and feature collectors,The platform shall support controlled beta channels for new OS versions and feature collectors.,MUST,MUST,Visibility,ADAPT,0,Visibility GA,
AGENT-WIN-001,Provide a Windows agent for supported workstation and server editions with separate capability matrix,The platform shall provide a Windows agent for supported workstation and server editions with separate capability matrix.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
AGENT-WIN-002,Monitor foreground applications/processes and user sessions using supported Windows APIs,The platform shall monitor foreground applications/processes and user sessions using supported Windows APIs.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
AGENT-WIN-003,Capture file-system and removable-storage events using least-privilege supported mechanisms,The platform shall capture file-system and removable-storage events using least-privilege supported mechanisms.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
AGENT-WIN-004,"Capture printing, network-context and browser/application telemetry supported on Windows","The platform shall capture printing, network-context and browser/application telemetry supported on Windows.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
AGENT-WIN-005,"Support enterprise deployment via Intune, GPO, SCCM/Configuration Manager and signed MSI/EXE packages","The platform shall support enterprise deployment via Intune, GPO, SCCM/Configuration Manager and signed MSI/EXE packages.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
AGENT-WIN-006,"Detect Windows session lock/unlock, logon/logoff and RDP/virtual-session context where supported","The platform shall detect Windows session lock/unlock, logon/logoff and RDP/virtual-session context where supported.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
AGENT-WIN-007,Support Windows protected-data/redaction rules for password and sensitive input contexts,The platform shall support Windows protected-data/redaction rules for password and sensitive input contexts.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
AGENT-WIN-008,Support VDI/virtual desktop environments with documented identity/session attribution limits,The platform shall support VDI/virtual desktop environments with documented identity/session attribution limits.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
AGENT-WIN-009,Support offline telemetry and policy enforcement across device reboots,The platform shall support offline telemetry and policy enforcement across device reboots.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
AGENT-WIN-010,Validate compatibility with EDR/AV and publish coexistence diagnostics rather than requesting security-product bypasses,The platform shall validate compatibility with EDR/AV and publish coexistence diagnostics rather than requesting security-product bypasses.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
AGENT-MAC-001,Provide a notarized macOS agent compatible with current supported macOS versions,The platform shall provide a notarized macOS agent compatible with current supported macOS versions.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-MAC-002,Use Apple-approved system extensions/frameworks and request only permissions required by enabled capabilities,The platform shall use Apple-approved system extensions/frameworks and request only permissions required by enabled capabilities.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-MAC-003,"Monitor supported application, browser, file, print, network-context and session activity","The platform shall monitor supported application, browser, file, print, network-context and session activity.",MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-MAC-004,"Expose Full Disk Access, Accessibility, Screen Recording and related permission health separately","The platform shall expose Full Disk Access, Accessibility, Screen Recording and related permission health separately.",MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-MAC-005,Support Jamf and MDM deployment/update workflows,The platform shall support Jamf and MDM deployment/update workflows.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-MAC-006,Support Apple Silicon and Intel where still commercially supported,The platform shall support Apple Silicon and Intel where still commercially supported.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-MAC-007,Fail privacy-safely when a required macOS permission is revoked and report the resulting telemetry gap,The platform shall fail privacy-safely when a required macOS permission is revoked and report the resulting telemetry gap.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-LNX-001,Provide a Linux endpoint/server agent for explicitly supported distributions and kernels,The platform shall provide a Linux endpoint/server agent for explicitly supported distributions and kernels.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-LNX-002,"Monitor login/session, process/application, terminal-context, file and network metadata where supported","The platform shall monitor login/session, process/application, terminal-context, file and network metadata where supported.",MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-LNX-003,Support managed package deployment and signed repositories or packages,The platform shall support managed package deployment and signed repositories or packages.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-LNX-004,Support server/headless workloads separately from graphical desktop monitoring,The platform shall support server/headless workloads separately from graphical desktop monitoring.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-LNX-005,Publish a Linux capability matrix and never imply parity with Windows/macOS where collectors differ,The platform shall publish a Linux capability matrix and never imply parity with Windows/macOS where collectors differ.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-CHR-001,Provide ChromeOS/browser-extension collection for managed enterprise devices,The platform shall provide ChromeOS/browser-extension collection for managed enterprise devices.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-CHR-002,Capture detailed URL/title/application/web activity subject to browser management permissions,The platform shall capture detailed URL/title/application/web activity subject to browser management permissions.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-CHR-003,Support managed extension deployment and policy configuration,The platform shall support managed extension deployment and policy configuration.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-CHR-004,Identify browser profile/device/user context and report coverage gaps,The platform shall identify browser profile/device/user context and report coverage gaps.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-CHR-005,"Apply website categorization, productivity and risk policies to supported browser events","The platform shall apply website categorization, productivity and risk policies to supported browser events.",MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-AND-001,Provide Android Enterprise support for company-owned managed devices only unless jurisdictional policy explicitly permits another model,The platform shall provide Android Enterprise support for company-owned managed devices only unless jurisdictional policy explicitly permits another model.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-AND-002,Collect managed-device app/web/file/location metadata only according to enabled enterprise policy and OS permission,The platform shall collect managed-device app/web/file/location metadata only according to enabled enterprise policy and OS permission.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-AND-003,Support geofence enter/exit events with assigned scope and schedule,The platform shall support geofence enter/exit events with assigned scope and schedule.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-AND-004,"Support configurable background upload, network constraints and offline queue retention","The platform shall support configurable background upload, network constraints and offline queue retention.",MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-AND-005,Provide clear monitoring disclosure and device-management status when required,The platform shall provide clear monitoring disclosure and device-management status when required.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-AND-006,"Report Accessibility, storage, location and device-admin permission health individually","The platform shall report Accessibility, storage, location and device-admin permission health individually.",MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-AND-007,Support remote policy/update actions through supported MDM/enterprise channels,The platform shall support remote policy/update actions through supported MDM/enterprise channels.,MUST,COULD,Connect,ADAPT,6,Connect GA,
AGENT-AND-008,Separate legacy high-intrusion capabilities such as audio/photo/video/SMS/call capture behind explicit product review and disable them by default,The platform shall separate legacy high-intrusion capabilities such as audio/photo/video/SMS/call capture behind explicit product review and disable them by default.,MUST,COULD,Connect,ADAPT,6,Connect GA,
UAM-APP-001,"Capture application/process identity, executable, publisher/signature where available and normalized application family","The platform shall capture application/process identity, executable, publisher/signature where available and normalized application family.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-002,"Capture application/window start, stop, duration and foreground/active duration","The platform shall capture application/window start, stop, duration and foreground/active duration.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-003,Capture window title/caption subject to privacy policy and redaction,The platform shall capture window title/caption subject to privacy policy and redaction.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-004,"Associate application activity with user, device, session, department, work schedule and policy context","The platform shall associate application activity with user, device, session, department, work schedule and policy context.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-005,"Classify applications as productive, neutral, unproductive, restricted or uncategorized","The platform shall classify applications as productive, neutral, unproductive, restricted or uncategorized.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-006,"Allow classification overrides by team, role, project, schedule and business unit","The platform shall allow classification overrides by team, role, project, schedule and business unit.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-007,Maintain application catalog aliases so renamed/versioned executables map to the same product,The platform shall maintain application catalog aliases so renamed/versioned executables map to the same product.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-008,Detect newly observed applications and support review/approval workflows,The platform shall detect newly observed applications and support review/approval workflows.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-009,"Detect unsigned, high-risk or prohibited applications using configured intelligence sources","The platform shall detect unsigned, high-risk or prohibited applications using configured intelligence sources.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-010,"Support application-based allow, warn, block or terminate policies where technically and legally appropriate","The platform shall support application-based allow, warn, block or terminate policies where technically and legally appropriate.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-011,"Calculate application usage totals, active time, frequency and trend by user/team/device","The platform shall calculate application usage totals, active time, frequency and trend by user/team/device.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-012,Detect abnormal application usage compared with user and peer baselines,The platform shall detect abnormal application usage compared with user and peer baselines.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-013,"Support application tag taxonomy such as development, finance, communication, AI, storage, job-search and entertainment","The platform shall support application tag taxonomy such as development, finance, communication, AI, storage, job-search and entertainment.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-014,Identify public GenAI/LLM applications and browser experiences as a distinct catalog class,The platform shall identify public GenAI/LLM applications and browser experiences as a distinct catalog class.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-015,"Expose application activity in dashboards, search, reports, risk timeline and investigation evidence","The platform shall expose application activity in dashboards, search, reports, risk timeline and investigation evidence.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-016,Allow applications to be excluded from recording while still optionally contributing aggregate time metrics,The platform shall allow applications to be excluded from recording while still optionally contributing aggregate time metrics.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-017,Deduplicate overlapping process/window telemetry into human-meaningful usage sessions,The platform shall deduplicate overlapping process/window telemetry into human-meaningful usage sessions.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-APP-018,Expose application collector quality/coverage and unsupported edge cases in data-quality views,The platform shall expose application collector quality/coverage and unsupported edge cases in data-quality views.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-001,"Capture visited URL, normalized domain/host, page title, browser and timestamps subject to recording policy","The platform shall capture visited URL, normalized domain/host, page title, browser and timestamps subject to recording policy.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-002,Calculate website/session duration and foreground active duration,The platform shall calculate website/session duration and foreground active duration.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-003,Categorize websites by business/productivity/risk taxonomy,The platform shall categorize websites by business/productivity/risk taxonomy.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-004,Allow website-category and individual-domain productivity overrides by team or role,The platform shall allow website-category and individual-domain productivity overrides by team or role.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-005,"Allow website allow, warn and block policies with user-facing reason text","The platform shall allow website allow, warn and block policies with user-facing reason text.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-006,"Support Do Not Record rules for banking, healthcare, personal webmail and other privacy-sensitive domains","The platform shall support Do Not Record rules for banking, healthcare, personal webmail and other privacy-sensitive domains.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-007,Redact URL query parameters and page titles using configurable sensitive patterns,The platform shall redact URL query parameters and page titles using configurable sensitive patterns.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-008,Capture supported search-engine query terms only when enabled and permitted,The platform shall capture supported search-engine query terms only when enabled and permitted.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-009,"Classify file-storage, webmail, social, collaboration, job-search and GenAI websites separately","The platform shall classify file-storage, webmail, social, collaboration, job-search and GenAI websites separately.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-010,"Detect first-seen domains, high-risk domains and anomalous domain usage","The platform shall detect first-seen domains, high-risk domains and anomalous domain usage.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-011,Detect unusually high duration/frequency and unusual out-of-hours website activity,The platform shall detect unusually high duration/frequency and unusual out-of-hours website activity.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-012,Support keyword/domain/URL-based alert conditions,The platform shall support keyword/domain/URL-based alert conditions.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-013,Support browser tab/window attribution where technically reliable,The platform shall support browser tab/window attribution where technically reliable.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-014,"Expose web activity in global search, user timeline and investigation context","The platform shall expose web activity in global search, user timeline and investigation context.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-015,Support expanded URL/subdomain detail only for roles/policies authorized to see it,The platform shall support expanded URL/subdomain detail only for roles/policies authorized to see it.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-016,Allow aggregated domain analytics without retaining full URLs when privacy mode requires minimization,The platform shall allow aggregated domain analytics without retaining full URLs when privacy mode requires minimization.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-017,Provide domain reputation enrichment through pluggable threat-intelligence providers,The platform shall provide domain reputation enrichment through pluggable threat-intelligence providers.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-018,Detect public file-sharing and personal cloud-storage destinations,The platform shall detect public file-sharing and personal cloud-storage destinations.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-019,"Detect AI service usage and distinguish approved, tolerated and shadow-AI services","The platform shall detect AI service usage and distinguish approved, tolerated and shadow-AI services.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-WEB-020,Support web-activity export/API without exposing excluded/redacted content,The platform shall support web-activity export/API without exposing excluded/redacted content.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-TIME-001,"Capture login, logout, lock, unlock and session start/end events","The platform shall capture login, logout, lock, unlock and session start/end events.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-TIME-002,"Calculate active, idle and logged-in time using configurable thresholds","The platform shall calculate active, idle and logged-in time using configurable thresholds.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
UAM-TIME-003,Separate machine idle from application inactivity and avoid labeling idle time as non-work by default,The platform shall separate machine idle from application inactivity and avoid labeling idle time as non-work by default.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
