Issue Type,Summary,Description,Epic Name,Epic Link,Labels,Priority,Requirement ID,Phase,Acceptance Criteria,Component
Story,"ORG-003: Create departments, teams, locations and cost centers and support nested organizational hierarchy","h2. Normative
The platform shall create departments, teams, locations and cost centers and support nested organizational hierarchy.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-003`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-003
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-003",High,ORG-003,0,Given synthetic fixtures for tenant A; when exercising `ORG-003`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,ORG-004: Assign users to multiple organizational dimensions without duplicating identity,"h2. Normative
The platform shall assign users to multiple organizational dimensions without duplicating identity.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-004`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-004
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-004",High,ORG-004,0,Given synthetic fixtures for tenant A; when exercising `ORG-004`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,"ORG-005: Create static user groups for policy, reporting and investigation scope","h2. Normative
The platform shall create static user groups for policy, reporting and investigation scope.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-005`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-005
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-005",High,ORG-005,0,Given synthetic fixtures for tenant A; when exercising `ORG-005`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,"ORG-006: Create dynamic groups from identity, HR, risk, device, role, location and employment-state attributes","h2. Normative
The platform shall create dynamic groups from identity, HR, risk, device, role, location and employment-state attributes.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-006`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-006
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-006",High,ORG-006,0,Given synthetic fixtures for tenant A; when exercising `ORG-006`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,ORG-007: Create priority/high-impact user groups with stricter governance and differentiated risk treatment,"h2. Normative
The platform shall create priority/high-impact user groups with stricter governance and differentiated risk treatment.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-007`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-007
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-007",High,ORG-007,0,Given synthetic fixtures for tenant A; when exercising `ORG-007`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,ORG-008: Import and reconcile organizational hierarchy from directory and HR sources,"h2. Normative
The platform shall import and reconcile organizational hierarchy from directory and HR sources.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-008`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-008
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-008",High,ORG-008,0,Given synthetic fixtures for tenant A; when exercising `ORG-008`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,"ORG-009: Support custom user metadata fields with schema, validation and sensitivity classification","h2. Normative
The platform shall support custom user metadata fields with schema, validation and sensitivity classification.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-009`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-009
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-009",High,ORG-009,0,Given synthetic fixtures for tenant A; when exercising `ORG-009`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,"ORG-010: Support configurable work schedules, shifts, time zones, holidays and overnight schedules","h2. Normative
The platform shall support configurable work schedules, shifts, time zones, holidays and overnight schedules.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-010`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-010
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-010",High,ORG-010,0,Given synthetic fixtures for tenant A; when exercising `ORG-010`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,"ORG-011: Maintain employment lifecycle states including pre-hire, active, leave, notice period, terminated and contractor expiration","h2. Normative
The platform shall maintain employment lifecycle states including pre-hire, active, leave, notice period, terminated and contractor expiration.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-011`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-011
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-011",High,ORG-011,0,Given synthetic fixtures for tenant A; when exercising `ORG-011`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,ORG-012: Maintain manager relationships and authorized managerial scope for workforce analytics,"h2. Normative
The platform shall maintain manager relationships and authorized managerial scope for workforce analytics.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-012`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-012
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-012",High,ORG-012,0,Given synthetic fixtures for tenant A; when exercising `ORG-012`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,"ORG-013: Allow organization-level feature flags and controlled rollout by tenant, group and user","h2. Normative
The platform shall allow organization-level feature flags and controlled rollout by tenant, group and user.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-013`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-013
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-013",High,ORG-013,0,Given synthetic fixtures for tenant A; when exercising `ORG-013`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,"ORG-014: Provide bulk import, bulk edit and bulk assignment workflows with preview and rollback","h2. Normative
The platform shall provide bulk import, bulk edit and bulk assignment workflows with preview and rollback.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-014`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-014
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-014",High,ORG-014,0,Given synthetic fixtures for tenant A; when exercising `ORG-014`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,ORG-015: Maintain immutable organization-change audit history with before and after values,"h2. Normative
The platform shall maintain immutable organization-change audit history with before and after values.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-015`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-015
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-015",High,ORG-015,0,Given synthetic fixtures for tenant A; when exercising `ORG-015`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
Story,IAM-001: Role-based access control,"h2. Normative
The platform shall provide granular RBAC for administration, monitoring, risk, investigation, reporting, privacy, evidence reveal, export and integration actions.

h2. Acceptance (v1.2)
RBAC matrix: each role can only access granted modules; negative tests for investigator vs manager.

h2. Traceability
* Requirement: IAM-001
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-02
",,EPIC-P0-02,"phase-0,visibility,security,req-id,must,iam-001",High,IAM-001,0,RBAC matrix: each role can only access granted modules; negative tests for investigator vs manager.,IAM
Story,IAM-002: Attribute-based access control,"h2. Normative
The platform shall supplement RBAC with ABAC conditions for department, jurisdiction, purpose, case membership, sensitivity and risk context.

h2. Acceptance (v1.2)
ABAC deny when purpose/case/jurisdiction mismatch even if role allows module.

h2. Traceability
* Requirement: IAM-002
* Edition: Visibility
* Strategy: SURPASS
* Release gate: Visibility GA
* Parent epic: EPIC-P0-02
",,EPIC-P0-02,"phase-0,visibility,security,req-id,must,iam-002",Highest,IAM-002,0,ABAC deny when purpose/case/jurisdiction mismatch even if role allows module.,IAM
Story,IAM-003: Support least-privilege custom roles and permission bundles,"h2. Normative
The platform shall support least-privilege custom roles and permission bundles.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `IAM-003`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: IAM-003
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-02
",,EPIC-P0-02,"phase-0,visibility,security,req-id,must,iam-003",High,IAM-003,0,Given synthetic fixtures for tenant A; when exercising `IAM-003`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,IAM
Story,IAM-004: Support SSO using SAML 2.0 and OpenID Connect,"h2. Normative
The platform shall support SSO using SAML 2.0 and OpenID Connect.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `IAM-004`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: IAM-004
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-02
",,EPIC-P0-02,"phase-0,visibility,security,req-id,must,iam-004",High,IAM-004,0,Given synthetic fixtures for tenant A; when exercising `IAM-004`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,IAM
Story,IAM-005: Support MFA enforcement and step-up authentication for sensitive evidence actions,"h2. Normative
The platform shall support MFA enforcement and step-up authentication for sensitive evidence actions.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `IAM-005`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: IAM-005
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-02
",,EPIC-P0-02,"phase-0,visibility,security,req-id,must,iam-005",High,IAM-005,0,Given synthetic fixtures for tenant A; when exercising `IAM-005`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,IAM
Story,IAM-006: Support SCIM 2.0 user and group provisioning,"h2. Normative
The platform shall support SCIM 2.0 user and group provisioning.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `IAM-006`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: IAM-006
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-02
",,EPIC-P0-02,"phase-0,visibility,security,req-id,must,iam-006",High,IAM-006,0,Given synthetic fixtures for tenant A; when exercising `IAM-006`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,IAM
Story,IAM-007: Support directory synchronization with Microsoft Entra ID and Active Directory,"h2. Normative
The platform shall support directory synchronization with Microsoft Entra ID and Active Directory.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `IAM-007`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: IAM-007
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-02
",,EPIC-P0-02,"phase-0,visibility,security,req-id,must,iam-007",High,IAM-007,0,Given synthetic fixtures for tenant A; when exercising `IAM-007`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,IAM
Story,IAM-008: Support identity-provider group-to-role mapping,"h2. Normative
The platform shall support identity-provider group-to-role mapping.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `IAM-008`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: IAM-008
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-02
",,EPIC-P0-02,"phase-0,visibility,security,req-id,must,iam-008",High,IAM-008,0,Given synthetic fixtures for tenant A; when exercising `IAM-008`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,IAM
Story,IAM-009: Support service accounts and scoped machine identities distinct from human administrators,"h2. Normative
The platform shall support service accounts and scoped machine identities distinct from human administrators.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `IAM-009`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: IAM-009
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-02
",,EPIC-P0-02,"phase-0,visibility,security,req-id,must,iam-009",High,IAM-009,0,Given synthetic fixtures for tenant A; when exercising `IAM-009`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,IAM
Story,"IAM-010: Support API clients with revocable scopes, secrets rotation and optional mTLS","h2. Normative
The platform shall support API clients with revocable scopes, secrets rotation and optional mTLS.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `IAM-010`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: IAM-010
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-02
",,EPIC-P0-02,"phase-0,visibility,security,req-id,must,iam-010",High,IAM-010,0,Given synthetic fixtures for tenant A; when exercising `IAM-010`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,IAM
